home_team_name;home_team_label;away_team_name;away_team_label;home_conf_cont;home_conf_cont_label;away_conf_cont;away_conf_cont_label
japao;35;brasil;9;"29    afc
Name: conf_cont, dtype: object";9;"0    conmebol
Name: conf_cont, dtype: object";9
arabia_saudita;3;espanha;24;"27    afc
Name: conf_cont, dtype: object";24;"18    uefa
Name: conf_cont, dtype: object";24
ucrania;56;tunisia;55;"10    uefa
Name: conf_cont, dtype: object";55;"26    caf
Name: conf_cont, dtype: object";55
suica;52;coreia_do_sul;15;"13    uefa
Name: conf_cont, dtype: object";15;"28    afc
Name: conf_cont, dtype: object";15
togo;53;franca;26;"22    caf
Name: conf_cont, dtype: object";26;"12    uefa
Name: conf_cont, dtype: object";26
alemanha;1;suecia;51;"21    uefa
Name: conf_cont, dtype: object";51;"20    uefa
Name: conf_cont, dtype: object";51
argentina;5;mexico;37;"1    conmebol
Name: conf_cont, dtype: object";37;"4    concacaf
Name: conf_cont, dtype: object";37
inglaterra;31;equador;21;"15    uefa
Name: conf_cont, dtype: object";21;"2    conmebol
Name: conf_cont, dtype: object";21
portugal;45;holanda;29;"11    uefa
Name: conf_cont, dtype: object";29;"8    uefa
Name: conf_cont, dtype: object";29
italia;34;australia;6;"14    uefa
Name: conf_cont, dtype: object";6;"31    ofc
Name: conf_cont, dtype: object";6
suica;52;ucrania;56;"13    uefa
Name: conf_cont, dtype: object";56;"10    uefa
Name: conf_cont, dtype: object";56
brasil;9;gana;27;"0    conmebol
Name: conf_cont, dtype: object";27;"23    caf
Name: conf_cont, dtype: object";27
espanha;24;franca;26;"18    uefa
Name: conf_cont, dtype: object";26;"12    uefa
Name: conf_cont, dtype: object";26
alemanha;1;argentina;5;"21    uefa
Name: conf_cont, dtype: object";5;"1    conmebol
Name: conf_cont, dtype: object";5
italia;34;ucrania;56;"14    uefa
Name: conf_cont, dtype: object";56;"10    uefa
Name: conf_cont, dtype: object";56
inglaterra;31;portugal;45;"15    uefa
Name: conf_cont, dtype: object";45;"11    uefa
Name: conf_cont, dtype: object";45
brasil;9;franca;26;"0    conmebol
Name: conf_cont, dtype: object";26;"12    uefa
Name: conf_cont, dtype: object";26
alemanha;1;italia;34;"21    uefa
Name: conf_cont, dtype: object";34;"14    uefa
Name: conf_cont, dtype: object";34
portugal;45;franca;26;"11    uefa
Name: conf_cont, dtype: object";26;"12    uefa
Name: conf_cont, dtype: object";26
alemanha;1;portugal;45;"21    uefa
Name: conf_cont, dtype: object";45;"11    uefa
Name: conf_cont, dtype: object";45
italia;34;franca;26;"14    uefa
Name: conf_cont, dtype: object";26;"12    uefa
Name: conf_cont, dtype: object";26
africa_do_sul;0;mexico;37;"26    caf
Name: conf_cont, dtype: object";37;"6    concacaf
Name: conf_cont, dtype: object";37
uruguai;57;franca;26;"4    conmebol
Name: conf_cont, dtype: object";26;"18    uefa
Name: conf_cont, dtype: object";26
coreia_do_sul;15;grecia;28;"29    afc
Name: conf_cont, dtype: object";28;"11    uefa
Name: conf_cont, dtype: object";28
argentina;5;nigeria;38;"3    conmebol
Name: conf_cont, dtype: object";38;"22    caf
Name: conf_cont, dtype: object";38
inglaterra;31;estados_unidos;25;"16    uefa
Name: conf_cont, dtype: object";25;"5    concacaf
Name: conf_cont, dtype: object";25
argelia;4;eslovenia;23;"23    caf
Name: conf_cont, dtype: object";23;"13    uefa
Name: conf_cont, dtype: object";23
servia;50;gana;27;"17    uefa
Name: conf_cont, dtype: object";27;"24    caf
Name: conf_cont, dtype: object";27
alemanha;1;australia;6;"14    uefa
Name: conf_cont, dtype: object";6;"27    afc
Name: conf_cont, dtype: object";6
holanda;29;dinamarca;19;"20    uefa
Name: conf_cont, dtype: object";19;"8    uefa
Name: conf_cont, dtype: object";19
japao;35;camaroes;10;"28    afc
Name: conf_cont, dtype: object";10;"21    caf
Name: conf_cont, dtype: object";10
italia;34;paraguai;42;"19    uefa
Name: conf_cont, dtype: object";42;"2    conmebol
Name: conf_cont, dtype: object";42
nova_zelandia;39;eslovaquia;22;"31    ofc
Name: conf_cont, dtype: object";22;"12    uefa
Name: conf_cont, dtype: object";22
costa_do_marfim;16;portugal;45;"25    caf
Name: conf_cont, dtype: object";45;"9    uefa
Name: conf_cont, dtype: object";45
brasil;9;coreia_do_norte;14;"0    conmebol
Name: conf_cont, dtype: object";14;"30    afc
Name: conf_cont, dtype: object";14
honduras;30;chile;12;"7    concacaf
Name: conf_cont, dtype: object";12;"1    conmebol
Name: conf_cont, dtype: object";12
espanha;24;suica;52;"15    uefa
Name: conf_cont, dtype: object";52;"10    uefa
Name: conf_cont, dtype: object";52
africa_do_sul;0;uruguai;57;"26    caf
Name: conf_cont, dtype: object";57;"4    conmebol
Name: conf_cont, dtype: object";57
argentina;5;coreia_do_sul;15;"3    conmebol
Name: conf_cont, dtype: object";15;"29    afc
Name: conf_cont, dtype: object";15
grecia;28;nigeria;38;"11    uefa
Name: conf_cont, dtype: object";38;"22    caf
Name: conf_cont, dtype: object";38
franca;26;mexico;37;"18    uefa
Name: conf_cont, dtype: object";37;"6    concacaf
Name: conf_cont, dtype: object";37
alemanha;1;servia;50;"14    uefa
Name: conf_cont, dtype: object";50;"17    uefa
Name: conf_cont, dtype: object";50
eslovenia;23;estados_unidos;25;"13    uefa
Name: conf_cont, dtype: object";25;"5    concacaf
Name: conf_cont, dtype: object";25
inglaterra;31;argelia;4;"16    uefa
Name: conf_cont, dtype: object";4;"23    caf
Name: conf_cont, dtype: object";4
holanda;29;japao;35;"20    uefa
Name: conf_cont, dtype: object";35;"28    afc
Name: conf_cont, dtype: object";35
gana;27;australia;6;"24    caf
Name: conf_cont, dtype: object";6;"27    afc
Name: conf_cont, dtype: object";6
camaroes;10;dinamarca;19;"21    caf
Name: conf_cont, dtype: object";19;"8    uefa
Name: conf_cont, dtype: object";19
eslovaquia;22;paraguai;42;"12    uefa
Name: conf_cont, dtype: object";42;"2    conmebol
Name: conf_cont, dtype: object";42
italia;34;nova_zelandia;39;"19    uefa
Name: conf_cont, dtype: object";39;"31    ofc
Name: conf_cont, dtype: object";39
brasil;9;costa_do_marfim;16;"0    conmebol
Name: conf_cont, dtype: object";16;"25    caf
Name: conf_cont, dtype: object";16
portugal;45;coreia_do_norte;14;"9    uefa
Name: conf_cont, dtype: object";14;"30    afc
Name: conf_cont, dtype: object";14
chile;12;suica;52;"1    conmebol
Name: conf_cont, dtype: object";52;"10    uefa
Name: conf_cont, dtype: object";52
espanha;24;honduras;30;"15    uefa
Name: conf_cont, dtype: object";30;"7    concacaf
Name: conf_cont, dtype: object";30
franca;26;africa_do_sul;0;"18    uefa
Name: conf_cont, dtype: object";0;"26    caf
Name: conf_cont, dtype: object";0
mexico;37;uruguai;57;"6    concacaf
Name: conf_cont, dtype: object";57;"4    conmebol
Name: conf_cont, dtype: object";57
grecia;28;argentina;5;"11    uefa
Name: conf_cont, dtype: object";5;"3    conmebol
Name: conf_cont, dtype: object";5
nigeria;38;coreia_do_sul;15;"22    caf
Name: conf_cont, dtype: object";15;"29    afc
Name: conf_cont, dtype: object";15
eslovenia;23;inglaterra;31;"13    uefa
Name: conf_cont, dtype: object";31;"16    uefa
Name: conf_cont, dtype: object";31
estados_unidos;25;argelia;4;"5    concacaf
Name: conf_cont, dtype: object";4;"23    caf
Name: conf_cont, dtype: object";4
australia;6;servia;50;"27    afc
Name: conf_cont, dtype: object";50;"17    uefa
Name: conf_cont, dtype: object";50
gana;27;alemanha;1;"24    caf
Name: conf_cont, dtype: object";1;"14    uefa
Name: conf_cont, dtype: object";1
paraguai;42;nova_zelandia;39;"2    conmebol
Name: conf_cont, dtype: object";39;"31    ofc
Name: conf_cont, dtype: object";39
eslovaquia;22;italia;34;"12    uefa
Name: conf_cont, dtype: object";34;"19    uefa
Name: conf_cont, dtype: object";34
camaroes;10;holanda;29;"21    caf
Name: conf_cont, dtype: object";29;"20    uefa
Name: conf_cont, dtype: object";29
dinamarca;19;japao;35;"8    uefa
Name: conf_cont, dtype: object";35;"28    afc
Name: conf_cont, dtype: object";35
coreia_do_norte;14;costa_do_marfim;16;"30    afc
Name: conf_cont, dtype: object";16;"25    caf
Name: conf_cont, dtype: object";16
portugal;45;brasil;9;"9    uefa
Name: conf_cont, dtype: object";9;"0    conmebol
Name: conf_cont, dtype: object";9
chile;12;espanha;24;"1    conmebol
Name: conf_cont, dtype: object";24;"15    uefa
Name: conf_cont, dtype: object";24
suica;52;honduras;30;"10    uefa
Name: conf_cont, dtype: object";30;"7    concacaf
Name: conf_cont, dtype: object";30
uruguai;57;coreia_do_sul;15;"4    conmebol
Name: conf_cont, dtype: object";15;"29    afc
Name: conf_cont, dtype: object";15
estados_unidos;25;gana;27;"5    concacaf
Name: conf_cont, dtype: object";27;"24    caf
Name: conf_cont, dtype: object";27
alemanha;1;inglaterra;31;"14    uefa
Name: conf_cont, dtype: object";31;"16    uefa
Name: conf_cont, dtype: object";31
argentina;5;mexico;37;"3    conmebol
Name: conf_cont, dtype: object";37;"6    concacaf
Name: conf_cont, dtype: object";37
holanda;29;eslovaquia;22;"20    uefa
Name: conf_cont, dtype: object";22;"12    uefa
Name: conf_cont, dtype: object";22
brasil;9;chile;12;"0    conmebol
Name: conf_cont, dtype: object";12;"1    conmebol
Name: conf_cont, dtype: object";12
paraguai;42;japao;35;"2    conmebol
Name: conf_cont, dtype: object";35;"28    afc
Name: conf_cont, dtype: object";35
espanha;24;portugal;45;"15    uefa
Name: conf_cont, dtype: object";45;"9    uefa
Name: conf_cont, dtype: object";45
holanda;29;brasil;9;"20    uefa
Name: conf_cont, dtype: object";9;"0    conmebol
Name: conf_cont, dtype: object";9
uruguai;57;gana;27;"4    conmebol
Name: conf_cont, dtype: object";27;"24    caf
Name: conf_cont, dtype: object";27
argentina;5;alemanha;1;"3    conmebol
Name: conf_cont, dtype: object";1;"14    uefa
Name: conf_cont, dtype: object";1
paraguai;42;espanha;24;"2    conmebol
Name: conf_cont, dtype: object";24;"15    uefa
Name: conf_cont, dtype: object";24
uruguai;57;holanda;29;"4    conmebol
Name: conf_cont, dtype: object";29;"20    uefa
Name: conf_cont, dtype: object";29
alemanha;1;espanha;24;"14    uefa
Name: conf_cont, dtype: object";24;"15    uefa
Name: conf_cont, dtype: object";24
uruguai;57;alemanha;1;"4    conmebol
Name: conf_cont, dtype: object";1;"14    uefa
Name: conf_cont, dtype: object";1
holanda;29;espanha;24;"20    uefa
Name: conf_cont, dtype: object";24;"15    uefa
Name: conf_cont, dtype: object";24
brasil;9;croacia;18;"5    conmebol
Name: conf_cont, dtype: object";18;"11    uefa
Name: conf_cont, dtype: object";18
mexico;37;camaroes;10;"9    concacaf
Name: conf_cont, dtype: object";10;"27    caf
Name: conf_cont, dtype: object";10
espanha;24;holanda;29;"21    uefa
Name: conf_cont, dtype: object";29;"14    uefa
Name: conf_cont, dtype: object";29
chile;12;australia;6;"2    conmebol
Name: conf_cont, dtype: object";6;"31    afc
Name: conf_cont, dtype: object";6
colombia;13;grecia;28;"1    conmebol
Name: conf_cont, dtype: object";28;"19    uefa
Name: conf_cont, dtype: object";28
uruguai;57;costa_rica;17;"4    conmebol
Name: conf_cont, dtype: object";17;"7    concacaf
Name: conf_cont, dtype: object";17
inglaterra;31;italia;34;"20    uefa
Name: conf_cont, dtype: object";34;"12    uefa
Name: conf_cont, dtype: object";34
costa_do_marfim;16;japao;35;"23    caf
Name: conf_cont, dtype: object";35;"30    afc
Name: conf_cont, dtype: object";35
suica;52;equador;21;"15    uefa
Name: conf_cont, dtype: object";21;"3    conmebol
Name: conf_cont, dtype: object";21
franca;26;honduras;30;"22    uefa
Name: conf_cont, dtype: object";30;"8    concacaf
Name: conf_cont, dtype: object";30
argentina;5;bosnia_e_herzegovina;8;"0    conmebol
Name: conf_cont, dtype: object";8;"18    uefa
Name: conf_cont, dtype: object";8
alemanha;1;portugal;45;"13    uefa
Name: conf_cont, dtype: object";45;"17    uefa
Name: conf_cont, dtype: object";45
ira;32;nigeria;38;"28    afc
Name: conf_cont, dtype: object";38;"25    caf
Name: conf_cont, dtype: object";38
gana;27;estados_unidos;25;"24    caf
Name: conf_cont, dtype: object";25;"6    concacaf
Name: conf_cont, dtype: object";25
belgica;7;argelia;4;"10    uefa
Name: conf_cont, dtype: object";4;"26    caf
Name: conf_cont, dtype: object";4
brasil;9;mexico;37;"5    conmebol
Name: conf_cont, dtype: object";37;"9    concacaf
Name: conf_cont, dtype: object";37
russia;48;coreia_do_sul;15;"16    uefa
Name: conf_cont, dtype: object";15;"29    afc
Name: conf_cont, dtype: object";15
australia;6;holanda;29;"31    afc
Name: conf_cont, dtype: object";29;"14    uefa
Name: conf_cont, dtype: object";29
espanha;24;chile;12;"21    uefa
Name: conf_cont, dtype: object";12;"2    conmebol
Name: conf_cont, dtype: object";12
camaroes;10;croacia;18;"27    caf
Name: conf_cont, dtype: object";18;"11    uefa
Name: conf_cont, dtype: object";18
colombia;13;costa_do_marfim;16;"1    conmebol
Name: conf_cont, dtype: object";16;"23    caf
Name: conf_cont, dtype: object";16
uruguai;57;inglaterra;31;"4    conmebol
Name: conf_cont, dtype: object";31;"20    uefa
Name: conf_cont, dtype: object";31
japao;35;grecia;28;"30    afc
Name: conf_cont, dtype: object";28;"19    uefa
Name: conf_cont, dtype: object";28
italia;34;costa_rica;17;"12    uefa
Name: conf_cont, dtype: object";17;"7    concacaf
Name: conf_cont, dtype: object";17
suica;52;franca;26;"15    uefa
Name: conf_cont, dtype: object";26;"22    uefa
Name: conf_cont, dtype: object";26
honduras;30;equador;21;"8    concacaf
Name: conf_cont, dtype: object";21;"3    conmebol
Name: conf_cont, dtype: object";21
argentina;5;ira;32;"0    conmebol
Name: conf_cont, dtype: object";32;"28    afc
Name: conf_cont, dtype: object";32
alemanha;1;gana;27;"13    uefa
Name: conf_cont, dtype: object";27;"24    caf
Name: conf_cont, dtype: object";27
nigeria;38;bosnia_e_herzegovina;8;"25    caf
Name: conf_cont, dtype: object";8;"18    uefa
Name: conf_cont, dtype: object";8
belgica;7;russia;48;"10    uefa
Name: conf_cont, dtype: object";48;"16    uefa
Name: conf_cont, dtype: object";48
coreia_do_sul;15;argelia;4;"29    afc
Name: conf_cont, dtype: object";4;"26    caf
Name: conf_cont, dtype: object";4
estados_unidos;25;portugal;45;"6    concacaf
Name: conf_cont, dtype: object";45;"17    uefa
Name: conf_cont, dtype: object";45
australia;6;espanha;24;"31    afc
Name: conf_cont, dtype: object";24;"21    uefa
Name: conf_cont, dtype: object";24
holanda;29;chile;12;"14    uefa
Name: conf_cont, dtype: object";12;"2    conmebol
Name: conf_cont, dtype: object";12
camaroes;10;brasil;9;"27    caf
Name: conf_cont, dtype: object";9;"5    conmebol
Name: conf_cont, dtype: object";9
croacia;18;mexico;37;"11    uefa
Name: conf_cont, dtype: object";37;"9    concacaf
Name: conf_cont, dtype: object";37
costa_rica;17;inglaterra;31;"7    concacaf
Name: conf_cont, dtype: object";31;"20    uefa
Name: conf_cont, dtype: object";31
italia;34;uruguai;57;"12    uefa
Name: conf_cont, dtype: object";57;"4    conmebol
Name: conf_cont, dtype: object";57
japao;35;colombia;13;"30    afc
Name: conf_cont, dtype: object";13;"1    conmebol
Name: conf_cont, dtype: object";13
grecia;28;costa_do_marfim;16;"19    uefa
Name: conf_cont, dtype: object";16;"23    caf
Name: conf_cont, dtype: object";16
bosnia_e_herzegovina;8;ira;32;"18    uefa
Name: conf_cont, dtype: object";32;"28    afc
Name: conf_cont, dtype: object";32
nigeria;38;argentina;5;"25    caf
Name: conf_cont, dtype: object";5;"0    conmebol
Name: conf_cont, dtype: object";5
honduras;30;suica;52;"8    concacaf
Name: conf_cont, dtype: object";52;"15    uefa
Name: conf_cont, dtype: object";52
equador;21;franca;26;"3    conmebol
Name: conf_cont, dtype: object";26;"22    uefa
Name: conf_cont, dtype: object";26
portugal;45;gana;27;"17    uefa
Name: conf_cont, dtype: object";27;"24    caf
Name: conf_cont, dtype: object";27
estados_unidos;25;alemanha;1;"6    concacaf
Name: conf_cont, dtype: object";1;"13    uefa
Name: conf_cont, dtype: object";1
argelia;4;russia;48;"26    caf
Name: conf_cont, dtype: object";48;"16    uefa
Name: conf_cont, dtype: object";48
coreia_do_sul;15;belgica;7;"29    afc
Name: conf_cont, dtype: object";7;"10    uefa
Name: conf_cont, dtype: object";7
brasil;9;chile;12;"5    conmebol
Name: conf_cont, dtype: object";12;"2    conmebol
Name: conf_cont, dtype: object";12
colombia;13;uruguai;57;"1    conmebol
Name: conf_cont, dtype: object";57;"4    conmebol
Name: conf_cont, dtype: object";57
holanda;29;mexico;37;"14    uefa
Name: conf_cont, dtype: object";37;"9    concacaf
Name: conf_cont, dtype: object";37
costa_rica;17;grecia;28;"7    concacaf
Name: conf_cont, dtype: object";28;"19    uefa
Name: conf_cont, dtype: object";28
franca;26;nigeria;38;"22    uefa
Name: conf_cont, dtype: object";38;"25    caf
Name: conf_cont, dtype: object";38
alemanha;1;argelia;4;"13    uefa
Name: conf_cont, dtype: object";4;"26    caf
Name: conf_cont, dtype: object";4
argentina;5;suica;52;"0    conmebol
Name: conf_cont, dtype: object";52;"15    uefa
Name: conf_cont, dtype: object";52
belgica;7;estados_unidos;25;"10    uefa
Name: conf_cont, dtype: object";25;"6    concacaf
Name: conf_cont, dtype: object";25
franca;26;alemanha;1;"22    uefa
Name: conf_cont, dtype: object";1;"13    uefa
Name: conf_cont, dtype: object";1
brasil;9;colombia;13;"5    conmebol
Name: conf_cont, dtype: object";13;"1    conmebol
Name: conf_cont, dtype: object";13
argentina;5;belgica;7;"0    conmebol
Name: conf_cont, dtype: object";7;"10    uefa
Name: conf_cont, dtype: object";7
holanda;29;costa_rica;17;"14    uefa
Name: conf_cont, dtype: object";17;"7    concacaf
Name: conf_cont, dtype: object";17
brasil;9;alemanha;1;"5    conmebol
Name: conf_cont, dtype: object";1;"13    uefa
Name: conf_cont, dtype: object";1
holanda;29;argentina;5;"14    uefa
Name: conf_cont, dtype: object";5;"0    conmebol
Name: conf_cont, dtype: object";5
brasil;9;holanda;29;"5    conmebol
Name: conf_cont, dtype: object";29;"14    uefa
Name: conf_cont, dtype: object";29
alemanha;1;argentina;5;"13    uefa
Name: conf_cont, dtype: object";5;"0    conmebol
Name: conf_cont, dtype: object";5
russia;48;arabia_saudita;3;"21    uefa
Name: conf_cont, dtype: object";3;"30    afc
Name: conf_cont, dtype: object";3
egito;20;uruguai;57;"26    caf
Name: conf_cont, dtype: object";57;"1    conmebol
Name: conf_cont, dtype: object";57
marrocos;36;ira;32;"24    caf
Name: conf_cont, dtype: object";32;"27    afc
Name: conf_cont, dtype: object";32
portugal;45;espanha;24;"10    uefa
Name: conf_cont, dtype: object";24;"17    uefa
Name: conf_cont, dtype: object";24
franca;26;australia;6;"8    uefa
Name: conf_cont, dtype: object";6;"31    afc
Name: conf_cont, dtype: object";6
argentina;5;islandia;33;"2    conmebol
Name: conf_cont, dtype: object";33;"19    uefa
Name: conf_cont, dtype: object";33
peru;43;dinamarca;19;"4    conmebol
Name: conf_cont, dtype: object";19;"15    uefa
Name: conf_cont, dtype: object";19
croacia;18;nigeria;38;"20    uefa
Name: conf_cont, dtype: object";38;"23    caf
Name: conf_cont, dtype: object";38
costa_rica;17;servia;50;"6    concacaf
Name: conf_cont, dtype: object";50;"13    uefa
Name: conf_cont, dtype: object";50
alemanha;1;mexico;37;"12    uefa
Name: conf_cont, dtype: object";37;"5    concacaf
Name: conf_cont, dtype: object";37
brasil;9;suica;52;"0    conmebol
Name: conf_cont, dtype: object";52;"11    uefa
Name: conf_cont, dtype: object";52
suecia;51;coreia_do_sul;15;"9    uefa
Name: conf_cont, dtype: object";15;"28    afc
Name: conf_cont, dtype: object";15
belgica;7;panama;41;"18    uefa
Name: conf_cont, dtype: object";41;"7    concacaf
Name: conf_cont, dtype: object";41
tunisia;55;inglaterra;31;"22    caf
Name: conf_cont, dtype: object";31;"16    uefa
Name: conf_cont, dtype: object";31
colombia;13;japao;35;"3    conmebol
Name: conf_cont, dtype: object";35;"29    afc
Name: conf_cont, dtype: object";35
polonia;44;senegal;49;"14    uefa
Name: conf_cont, dtype: object";49;"25    caf
Name: conf_cont, dtype: object";49
russia;48;egito;20;"21    uefa
Name: conf_cont, dtype: object";20;"26    caf
Name: conf_cont, dtype: object";20
portugal;45;marrocos;36;"10    uefa
Name: conf_cont, dtype: object";36;"24    caf
Name: conf_cont, dtype: object";36
uruguai;57;arabia_saudita;3;"1    conmebol
Name: conf_cont, dtype: object";3;"30    afc
Name: conf_cont, dtype: object";3
ira;32;espanha;24;"27    afc
Name: conf_cont, dtype: object";24;"17    uefa
Name: conf_cont, dtype: object";24
dinamarca;19;australia;6;"15    uefa
Name: conf_cont, dtype: object";6;"31    afc
Name: conf_cont, dtype: object";6
franca;26;peru;43;"8    uefa
Name: conf_cont, dtype: object";43;"4    conmebol
Name: conf_cont, dtype: object";43
argentina;5;croacia;18;"2    conmebol
Name: conf_cont, dtype: object";18;"20    uefa
Name: conf_cont, dtype: object";18
brasil;9;costa_rica;17;"0    conmebol
Name: conf_cont, dtype: object";17;"6    concacaf
Name: conf_cont, dtype: object";17
nigeria;38;islandia;33;"23    caf
Name: conf_cont, dtype: object";33;"19    uefa
Name: conf_cont, dtype: object";33
servia;50;suica;52;"13    uefa
Name: conf_cont, dtype: object";52;"11    uefa
Name: conf_cont, dtype: object";52
belgica;7;tunisia;55;"18    uefa
Name: conf_cont, dtype: object";55;"22    caf
Name: conf_cont, dtype: object";55
coreia_do_sul;15;mexico;37;"28    afc
Name: conf_cont, dtype: object";37;"5    concacaf
Name: conf_cont, dtype: object";37
alemanha;1;suecia;51;"12    uefa
Name: conf_cont, dtype: object";51;"9    uefa
Name: conf_cont, dtype: object";51
inglaterra;31;panama;41;"16    uefa
Name: conf_cont, dtype: object";41;"7    concacaf
Name: conf_cont, dtype: object";41
japao;35;senegal;49;"29    afc
Name: conf_cont, dtype: object";49;"25    caf
Name: conf_cont, dtype: object";49
polonia;44;colombia;13;"14    uefa
Name: conf_cont, dtype: object";13;"3    conmebol
Name: conf_cont, dtype: object";13
arabia_saudita;3;egito;20;"30    afc
Name: conf_cont, dtype: object";20;"26    caf
Name: conf_cont, dtype: object";20
uruguai;57;russia;48;"1    conmebol
Name: conf_cont, dtype: object";48;"21    uefa
Name: conf_cont, dtype: object";48
