pos_elim;selecao;pts;j;v;e;d;gp;gc;sg;conf_cont;desclassif_qtd;desclassif_pts_min;desclassif_pts_max;desclassif_pts_mean;desclassif_v_min;desclassif_v_max;desclassif_v_mean;desclassif_e_min;desclassif_e_max;desclassif_e_mean;desclassif_d_min;desclassif_d_max;desclassif_d_mean;desclassif_gp_min;desclassif_gp_max;desclassif_gp_mean;desclassif_gc_min;desclassif_gc_max;desclassif_gc_mean;desclassif_sg_min;desclassif_sg_max;desclassif_sg_mean;aprov;perc_v;classif;gp_por_jogo;gc_por_jogo;sg_por_jogo;sede
2.0;grecia;25.0;10.0;8.0;1.0;1.0;12.0;4.0;8.0;uefa;40;0;21;10.65;0;6;2.82;0;6;2.17;1;10;4.85;0;28;11.3;4;54;16.25;-53;24;-4.95;0.83;0.8;direta;1.2;0.4;0.8;0
1.0;inglaterra;22.0;10.0;6.0;4.0;0.0;31.0;4.0;27.0;uefa;40;0;21;10.65;0;6;2.82;0;6;2.17;1;10;4.85;0;28;11.3;4;54;16.25;-53;24;-4.95;0.73;0.6;direta;3.1;0.4;2.7;0
1.0;espanha;20.0;8.0;6.0;2.0;0.0;14.0;3.0;11.0;uefa;40;0;21;10.65;0;6;2.82;0;6;2.17;1;10;4.85;0;28;11.3;4;54;16.25;-53;24;-4.95;0.83;0.75;direta;1.75;0.38;1.38;0
2.0;franca;17.0;8.0;5.0;2.0;1.0;15.0;6.0;9.0;uefa;40;0;21;10.65;0;6;2.82;0;6;2.17;1;10;4.85;0;28;11.3;4;54;16.25;-53;24;-4.95;0.71;0.62;direta;1.88;0.75;1.12;0
1.0;costa_do_marfim;14.0;6.0;4.0;2.0;0.0;15.0;5.0;10.0;caf;35;2;18;7.34;0;6;1.86;0;4;1.77;0;5;2.37;2;16;6.71;3;15;7.94;-13;9;-1.29;0.78;0.67;direta;2.5;0.83;1.67;0
1.0;gana;15.0;6.0;5.0;0.0;1.0;18.0;3.0;15.0;caf;35;2;18;7.34;0;6;1.86;0;4;1.77;0;5;2.37;2;16;6.71;3;15;7.94;-13;9;-1.29;0.83;0.83;direta;3.0;0.5;2.5;0
1.0;nigeria;12.0;6.0;3.0;3.0;0.0;7.0;3.0;4.0;caf;35;2;18;7.34;0;6;1.86;0;4;1.77;0;5;2.37;2;16;6.71;3;15;7.94;-13;9;-1.29;0.67;0.5;direta;1.17;0.5;0.67;0
1.0;argelia;15.0;6.0;5.0;0.0;1.0;13.0;4.0;9.0;caf;35;2;18;7.34;0;6;1.86;0;4;1.77;0;5;2.37;2;16;6.71;3;15;7.94;-13;9;-1.29;0.83;0.83;direta;2.17;0.67;1.5;0
1.0;camaroes;13.0;6.0;4.0;1.0;1.0;8.0;3.0;5.0;caf;35;2;18;7.34;0;6;1.86;0;4;1.77;0;5;2.37;2;16;6.71;3;15;7.94;-13;9;-1.29;0.72;0.67;direta;1.33;0.5;0.83;0
1.0;ira;16.0;8.0;5.0;1.0;2.0;8.0;2.0;6.0;afc;6;5;14;8.33;1;4;2.17;1;3;1.83;2;5;4.0;3;11;6.17;6;16;10.83;-9;5;-4.67;0.67;0.62;direta;1.0;0.25;0.75;0
2.0;coreia_do_sul;14.0;8.0;4.0;2.0;2.0;13.0;7.0;6.0;afc;6;5;14;8.33;1;4;2.17;1;3;1.83;2;5;4.0;3;11;6.17;6;16;10.83;-9;5;-4.67;0.58;0.5;direta;1.62;0.88;0.75;0
1.0;japao;17.0;8.0;5.0;2.0;1.0;16.0;5.0;11.0;afc;6;5;14;8.33;1;4;2.17;1;3;1.83;2;5;4.0;3;11;6.17;6;16;10.83;-9;5;-4.67;0.71;0.62;direta;2.0;0.62;1.38;0
2.0;australia;13.0;8.0;3.0;4.0;1.0;12.0;7.0;5.0;afc;6;5;14;8.33;1;4;2.17;1;3;1.83;2;5;4.0;3;11;6.17;6;16;10.83;-9;5;-4.67;0.54;0.38;direta;1.5;0.88;0.62;0
