pos_elim;selecao;pts;j;v;e;d;gp;gc;sg;conf_cont;desclassif_qtd;desclassif_pts_min;desclassif_pts_max;desclassif_pts_mean;desclassif_v_min;desclassif_v_max;desclassif_v_mean;desclassif_e_min;desclassif_e_max;desclassif_e_mean;desclassif_d_min;desclassif_d_max;desclassif_d_mean;desclassif_gp_min;desclassif_gp_max;desclassif_gp_mean;desclassif_gc_min;desclassif_gc_max;desclassif_gc_mean;desclassif_sg_min;desclassif_sg_max;desclassif_sg_mean;aprov;perc_v;repescagem;gp_por_jogo;gc_por_jogo;sg_por_jogo;sede
1.0;tunisia;14.0;6.0;4.0;2.0;0.0;11.0;4.0;7.0;caf;15;2;13;6.2;0;4;1.33;0;4;2.13;1;5;2.53;1;14;6.0;2;13;8.27;-8;5;-2.4;0.78;0.67;0;1.83;0.67;1.17;0
1.0;nigeria;13.0;6.0;4.0;2.0;0.0;11.0;6.0;5.0;caf;15;2;13;6.2;0;4;1.33;0;4;2.13;1;5;2.53;1;14;6.0;2;13;8.27;-8;5;-2.4;0.72;0.67;0;1.83;1.0;0.83;0
1.0;marrocos;12.0;6.0;3.0;3.0;0.0;11.0;0.0;11.0;caf;15;2;13;6.2;0;4;1.33;0;4;2.13;1;5;2.53;1;14;6.0;2;13;8.27;-8;5;-2.4;0.67;0.5;0;1.83;0.0;1.83;0
1.0;senegal;14.0;6.0;4.0;2.0;0.0;10.0;3.0;7.0;caf;15;2;13;6.2;0;4;1.33;0;4;2.13;1;5;2.53;1;14;6.0;2;13;8.27;-8;5;-2.4;0.78;0.67;0;1.67;0.5;1.17;0
1.0;egito;13.0;6.0;4.0;1.0;1.0;8.0;4.0;4.0;caf;15;2;13;6.2;0;4;1.33;0;4;2.13;1;5;2.53;1;14;6.0;2;13;8.27;-8;5;-2.4;0.72;0.67;0;1.33;0.67;0.67;0
1.0;ira;22.0;10.0;6.0;4.0;0.0;10.0;2.0;8.0;afc;7;2;13;10.14;0;4;2.71;1;4;2.0;3;8;5.29;6;11;8.29;7;24;12.57;-18;2;-4.29;0.73;0.6;0;1.0;0.2;0.8;0
2.0;coreia_do_sul;15.0;10.0;4.0;3.0;3.0;11.0;10.0;1.0;afc;7;2;13;10.14;0;4;2.71;1;4;2.0;3;8;5.29;6;11;8.29;7;24;12.57;-18;2;-4.29;0.5;0.4;0;1.1;1.0;0.1;0
1.0;japao;20.0;10.0;6.0;2.0;2.0;17.0;7.0;10.0;afc;7;2;13;10.14;0;4;2.71;1;4;2.0;3;8;5.29;6;11;8.29;7;24;12.57;-18;2;-4.29;0.67;0.6;0;1.7;0.7;1.0;0
2.0;arabia_saudita;19.0;10.0;6.0;1.0;3.0;17.0;10.0;7.0;afc;7;2;13;10.14;0;4;2.71;1;4;2.0;3;8;5.29;6;11;8.29;7;24;12.57;-18;2;-4.29;0.63;0.6;0;1.7;1.0;0.7;0
3.0;australia;19.0;10.0;5.0;4.0;1.0;16.0;11.0;5.0;afc;7;2;13;10.14;0;4;2.71;1;4;2.0;3;8;5.29;6;11;8.29;7;24;12.57;-18;2;-4.29;0.63;0.5;1;1.6;1.1;0.5;0
