idade;selecao;ger;pot;funcao
28;egito;76;77;defesa
22;egito;74;79;ataque
25;egito;74;77;ataque
26;egito;73;76;ataque
25;egito;72;75;ataque
27;egito;72;75;defesa
31;egito;71;71;ataque
34;egito;71;71;ataque
33;egito;71;71;ataque
28;egito;70;71;ataque
32;egito;70;70;ataque
34;egito;70;70;defesa
24;egito;69;77;defesa
28;egito;69;69;ataque
27;egito;69;72;defesa
36;egito;69;69;defesa
30;egito;68;68;defesa
27;egito;68;69;ataque
34;egito;68;68;defesa
27;egito;67;68;defesa
27;egito;67;68;defesa
30;egito;67;67;defesa
29;egito;66;67;defesa
30;egito;66;67;defesa
23;egito;66;73;defesa
30;egito;66;66;ataque
35;egito;66;66;defesa
26;marrocos;85;86;ataque
29;marrocos;80;80;ataque
28;marrocos;79;82;defesa
20;marrocos;78;86;defesa
25;marrocos;78;81;ataque
29;marrocos;78;78;defesa
31;marrocos;78;78;ataque
32;marrocos;78;78;ataque
35;marrocos;78;78;ataque
22;marrocos;77;86;ataque
28;marrocos;77;77;ataque
29;marrocos;77;77;defesa
30;marrocos;77;77;ataque
34;marrocos;77;77;ataque
21;marrocos;76;84;ataque
23;marrocos;76;84;ataque
29;marrocos;76;76;ataque
33;marrocos;76;76;ataque
23;marrocos;75;82;ataque
31;marrocos;75;75;defesa
25;marrocos;75;79;ataque
26;marrocos;75;77;ataque
33;marrocos;75;75;defesa
33;marrocos;75;75;ataque
22;marrocos;74;80;ataque
24;marrocos;74;82;ataque
30;marrocos;74;75;defesa
33;marrocos;74;74;ataque
25;marrocos;73;77;ataque
23;marrocos;73;79;ataque
22;nigeria;81;85;ataque
23;nigeria;78;83;ataque
28;nigeria;78;78;ataque
22;nigeria;77;86;ataque
30;nigeria;77;77;ataque
24;nigeria;76;82;ataque
22;nigeria;75;86;ataque
24;nigeria;75;80;ataque
26;nigeria;75;78;ataque
26;nigeria;75;76;ataque
31;nigeria;75;75;defesa
32;nigeria;75;75;ataque
20;nigeria;74;86;ataque
21;nigeria;74;83;ataque
22;nigeria;74;81;defesa
22;nigeria;74;83;ataque
26;nigeria;74;78;defesa
26;nigeria;74;77;ataque
26;nigeria;74;77;ataque
26;nigeria;74;76;ataque
28;nigeria;74;74;ataque
30;nigeria;73;73;ataque
20;nigeria;73;84;ataque
23;nigeria;73;80;ataque
22;nigeria;73;80;ataque
23;nigeria;73;80;ataque
23;nigeria;73;80;ataque
25;nigeria;73;80;defesa
28;nigeria;73;73;ataque
23;nigeria;72;81;ataque
28;senegal;88;90;defesa
27;senegal;87;87;ataque
29;senegal;83;83;defesa
29;senegal;81;81;defesa
24;senegal;80;84;ataque
21;senegal;77;88;ataque
27;senegal;77;80;defesa
33;senegal;77;77;ataque
23;senegal;76;85;ataque
28;senegal;76;76;ataque
26;senegal;76;77;defesa
24;senegal;76;81;ataque
26;senegal;76;79;defesa
29;senegal;76;76;ataque
24;senegal;75;79;ataque
27;senegal;75;76;ataque
26;senegal;75;78;ataque
29;senegal;75;75;defesa
26;senegal;75;77;ataque
32;senegal;75;75;ataque
30;senegal;75;75;ataque
34;senegal;75;75;ataque
34;senegal;75;75;ataque
32;senegal;74;74;ataque
20;senegal;74;85;ataque
34;senegal;74;74;defesa
29;senegal;74;74;ataque
29;senegal;74;74;ataque
32;senegal;74;74;defesa
29;senegal;74;74;ataque
28;tunisia;79;79;ataque
24;tunisia;77;81;ataque
27;tunisia;76;76;ataque
24;tunisia;75;82;defesa
27;tunisia;73;74;defesa
34;tunisia;73;73;ataque
26;tunisia;72;75;defesa
22;tunisia;72;79;ataque
24;tunisia;72;76;ataque
30;tunisia;72;72;defesa
32;tunisia;72;72;defesa
28;tunisia;71;71;ataque
24;tunisia;71;78;defesa
30;tunisia;71;71;defesa
32;tunisia;71;71;ataque
30;tunisia;70;71;defesa
28;tunisia;70;70;ataque
33;tunisia;70;70;ataque
26;tunisia;69;70;ataque
27;tunisia;69;70;ataque
23;tunisia;68;76;ataque
29;tunisia;68;69;defesa
27;tunisia;68;69;ataque
25;tunisia;68;72;ataque
30;tunisia;68;68;ataque
32;tunisia;68;68;ataque
28;tunisia;67;67;ataque
31;tunisia;67;67;ataque
26;tunisia;66;67;ataque
36;tunisia;66;66;defesa
26;ira;77;78;ataque
29;ira;74;74;ataque
27;ira;72;73;ataque
26;ira;72;75;defesa
23;ira;69;74;ataque
32;ira;69;69;ataque
31;ira;69;69;ataque
22;ira;68;79;ataque
23;ira;67;74;defesa
31;ira;67;67;ataque
23;ira;66;71;defesa
26;ira;66;67;ataque
18;ira;62;77;ataque
31;japao;80;80;ataque
30;japao;80;80;ataque
35;japao;79;79;defesa
29;japao;78;78;defesa
33;japao;78;78;ataque
31;japao;76;76;ataque
27;japao;76;77;ataque
27;japao;76;77;ataque
29;japao;76;76;ataque
26;japao;75;80;defesa
31;japao;75;75;defesa
26;japao;74;75;ataque
28;japao;74;74;ataque
33;japao;74;74;ataque
32;japao;74;74;defesa
28;japao;73;74;defesa
20;japao;73;84;defesa
23;japao;73;80;ataque
21;japao;73;84;ataque
33;japao;73;73;defesa
24;japao;73;80;ataque
30;japao;73;73;ataque
28;japao;72;72;ataque
33;japao;72;72;defesa
25;japao;72;75;ataque
28;japao;72;72;defesa
33;japao;72;72;ataque
27;japao;72;72;ataque
38;japao;72;72;ataque
39;japao;72;72;ataque
27;coreia_do_sul;87;88;ataque
30;coreia_do_sul;76;76;ataque
30;coreia_do_sul;76;76;ataque
27;coreia_do_sul;75;77;defesa
25;coreia_do_sul;75;78;ataque
30;coreia_do_sul;74;74;defesa
22;coreia_do_sul;73;80;defesa
27;coreia_do_sul;73;74;ataque
28;coreia_do_sul;73;73;ataque
31;coreia_do_sul;73;73;ataque
31;coreia_do_sul;73;73;ataque
18;coreia_do_sul;72;88;ataque
22;coreia_do_sul;72;80;ataque
23;coreia_do_sul;72;80;ataque
27;coreia_do_sul;72;73;ataque
31;coreia_do_sul;72;72;ataque
28;coreia_do_sul;72;72;ataque
29;coreia_do_sul;72;72;ataque
32;coreia_do_sul;72;72;defesa
35;coreia_do_sul;72;72;defesa
27;coreia_do_sul;71;71;ataque
25;coreia_do_sul;71;73;ataque
24;coreia_do_sul;71;75;defesa
27;coreia_do_sul;71;72;ataque
28;coreia_do_sul;71;71;ataque
27;coreia_do_sul;71;73;defesa
30;coreia_do_sul;71;71;ataque
31;coreia_do_sul;71;71;ataque
32;coreia_do_sul;71;71;ataque
30;coreia_do_sul;71;71;defesa
28;arabia_saudita;73;73;ataque
30;arabia_saudita;73;73;ataque
27;arabia_saudita;72;75;defesa
27;arabia_saudita;72;73;defesa
29;arabia_saudita;72;72;ataque
26;arabia_saudita;71;73;defesa
27;arabia_saudita;71;74;ataque
27;arabia_saudita;71;73;defesa
33;arabia_saudita;71;71;defesa
35;arabia_saudita;71;71;ataque
24;arabia_saudita;70;76;ataque
30;arabia_saudita;70;70;ataque
31;arabia_saudita;70;70;ataque
29;arabia_saudita;70;70;ataque
35;arabia_saudita;70;70;ataque
29;arabia_saudita;69;69;defesa
25;arabia_saudita;69;71;ataque
29;arabia_saudita;69;69;ataque
28;arabia_saudita;69;69;ataque
27;arabia_saudita;68;71;ataque
29;arabia_saudita;68;68;ataque
28;arabia_saudita;68;68;defesa
31;arabia_saudita;68;68;defesa
27;arabia_saudita;68;68;ataque
32;arabia_saudita;68;68;ataque
35;arabia_saudita;68;68;defesa
33;arabia_saudita;68;68;defesa
33;arabia_saudita;68;68;ataque
24;arabia_saudita;67;72;ataque
32;arabia_saudita;67;67;defesa
27;australia;80;83;defesa
28;australia;77;77;ataque
26;australia;76;79;ataque
28;australia;75;75;ataque
34;australia;75;75;defesa
37;australia;75;75;defesa
25;australia;74;81;defesa
27;australia;74;76;defesa
26;australia;73;76;ataque
28;australia;73;73;defesa
27;australia;72;73;defesa
26;australia;72;75;ataque
30;australia;72;72;ataque
31;australia;72;72;defesa
31;australia;72;72;defesa
24;australia;71;77;ataque
23;australia;71;79;ataque
29;australia;71;71;ataque
27;australia;71;74;defesa
27;australia;71;71;ataque
35;australia;71;71;defesa
35;australia;71;71;defesa
31;australia;71;71;defesa
34;australia;71;71;defesa
31;australia;71;71;ataque
34;australia;71;71;defesa
26;australia;70;72;ataque
27;australia;70;71;defesa
26;australia;70;70;ataque
25;australia;70;71;ataque
