pos_elim;selecao;pts;j;v;e;d;gp;gc;sg;classif;conf_cont;desclassif_qtd;desclassif_pts_min;desclassif_pts_max;desclassif_pts_mean;desclassif_v_min;desclassif_v_max;desclassif_v_mean;desclassif_e_min;desclassif_e_max;desclassif_e_mean;desclassif_d_min;desclassif_d_max;desclassif_d_mean;desclassif_gp_min;desclassif_gp_max;desclassif_gp_mean;desclassif_gc_min;desclassif_gc_max;desclassif_gc_mean;desclassif_sg_min;desclassif_sg_max;desclassif_sg_mean;aprov;perc_v;gp_por_jogo;gc_por_jogo;sg_por_jogo;sede
1.0;Espanha;19.0;8.0;6.0;1.0;1.0;15.0;5.0;10.0;direta;uefa;42;0;23;10.1;0;7;2.71;0;6;1.95;0;10;4.5;1;27;10.76;2;46;16.43;-45;13;-5.67;0.79;0.75;1.88;0.62;1.25;0
1.0;Suíça;18.0;8.0;5.0;3.0;0.0;15.0;2.0;13.0;direta;uefa;42;0;23;10.1;0;7;2.71;0;6;1.95;0;10;4.5;1;27;10.76;2;46;16.43;-45;13;-5.67;0.75;0.62;1.88;0.25;1.62;0
1.0;França;18.0;8.0;5.0;3.0;0.0;18.0;3.0;15.0;direta;uefa;42;0;23;10.1;0;7;2.71;0;6;1.95;0;10;4.5;1;27;10.76;2;46;16.43;-45;13;-5.67;0.75;0.62;2.25;0.38;1.88;0
1.0;Bélgica;20.0;8.0;6.0;2.0;0.0;25.0;6.0;19.0;direta;uefa;42;0;23;10.1;0;7;2.71;0;6;1.95;0;10;4.5;1;27;10.76;2;46;16.43;-45;13;-5.67;0.83;0.75;3.12;0.75;2.38;0
2.0;País de Gales;15.0;8.0;4.0;3.0;1.0;14.0;9.0;5.0;repescagem;uefa;42;0;23;10.1;0;7;2.71;0;6;1.95;0;10;4.5;1;27;10.76;2;46;16.43;-45;13;-5.67;0.62;0.5;1.75;1.12;0.62;0
1.0;Dinamarca;27.0;10.0;9.0;0.0;1.0;30.0;3.0;27.0;direta;uefa;42;0;23;10.1;0;7;2.71;0;6;1.95;0;10;4.5;1;27;10.76;2;46;16.43;-45;13;-5.67;0.9;0.9;3.0;0.3;2.7;0
1.0;Países Baixos;23.0;10.0;7.0;2.0;1.0;33.0;8.0;25.0;direta;uefa;42;0;23;10.1;0;7;2.71;0;6;1.95;0;10;4.5;1;27;10.76;2;46;16.43;-45;13;-5.67;0.77;0.7;3.3;0.8;2.5;0
1.0;Croácia;23.0;10.0;7.0;2.0;1.0;21.0;4.0;17.0;direta;uefa;42;0;23;10.1;0;7;2.71;0;6;1.95;0;10;4.5;1;27;10.76;2;46;16.43;-45;13;-5.67;0.77;0.7;2.1;0.4;1.7;0
1.0;Inglaterra;26.0;10.0;8.0;2.0;0.0;39.0;3.0;36.0;direta;uefa;42;0;23;10.1;0;7;2.71;0;6;1.95;0;10;4.5;1;27;10.76;2;46;16.43;-45;13;-5.67;0.87;0.8;3.9;0.3;3.6;0
2.0;Polónia;20.0;10.0;6.0;2.0;2.0;30.0;11.0;19.0;direta;uefa;42;0;23;10.1;0;7;2.71;0;6;1.95;0;10;4.5;1;27;10.76;2;46;16.43;-45;13;-5.67;0.67;0.6;3.0;1.1;1.9;0
1.0;Alemanha;27.0;10.0;9.0;0.0;1.0;36.0;4.0;32.0;direta;uefa;42;0;23;10.1;0;7;2.71;0;6;1.95;0;10;4.5;1;27;10.76;2;46;16.43;-45;13;-5.67;0.9;0.9;3.6;0.4;3.2;0
1.0;Tunísia;13.0;6.0;4.0;1.0;1.0;11.0;2.0;9.0;direta;caf;35;0;16;7.26;0;5;1.86;0;4;1.69;0;6;2.4;2;25;6.37;0;29;7.77;-25;21;-1.49;0.72;0.67;1.83;0.33;1.5;0
1.0;Camarões;15.0;6.0;5.0;0.0;1.0;12.0;3.0;9.0;direta;caf;35;0;16;7.26;0;5;1.86;0;4;1.69;0;6;2.4;2;25;6.37;0;29;7.77;-25;21;-1.49;0.83;0.83;2.0;0.5;1.5;0
1.0;Gana;13.0;6.0;4.0;1.0;1.0;7.0;3.0;4.0;direta;caf;35;0;16;7.26;0;5;1.86;0;4;1.69;0;6;2.4;2;25;6.37;0;29;7.77;-25;21;-1.49;0.72;0.67;1.17;0.5;0.67;0
1.0;Senegal;16.0;6.0;5.0;1.0;0.0;15.0;4.0;11.0;direta;caf;35;0;16;7.26;0;5;1.86;0;4;1.69;0;6;2.4;2;25;6.37;0;29;7.77;-25;21;-1.49;0.89;0.83;2.5;0.67;1.83;0
1.0;Marrocos;18.0;6.0;6.0;0.0;0.0;20.0;1.0;19.0;direta;caf;35;0;16;7.26;0;5;1.86;0;4;1.69;0;6;2.4;2;25;6.37;0;29;7.77;-25;21;-1.49;1.0;1.0;3.33;0.17;3.17;0
1.0;Irã;25.0;10.0;8.0;1.0;1.0;15.0;4.0;11.0;direta;afc;7;4;14;8.14;1;4;1.71;1;6;3.0;3;8;5.29;5;11;7.86;7;19;14.14;-11;1;-6.29;0.83;0.8;1.5;0.4;1.1;0
2.0;Coreia do Sul;23.0;10.0;7.0;2.0;1.0;13.0;3.0;10.0;direta;afc;7;4;14;8.14;1;4;1.71;1;6;3.0;3;8;5.29;5;11;7.86;7;19;14.14;-11;1;-6.29;0.77;0.7;1.3;0.3;1.0;0
1.0;Arábia Saudita;23.0;10.0;7.0;2.0;1.0;12.0;6.0;6.0;direta;afc;7;4;14;8.14;1;4;1.71;1;6;3.0;3;8;5.29;5;11;7.86;7;19;14.14;-11;1;-6.29;0.77;0.7;1.2;0.6;0.6;0
2.0;Japão;22.0;10.0;7.0;1.0;2.0;12.0;4.0;8.0;direta;afc;7;4;14;8.14;1;4;1.71;1;6;3.0;3;8;5.29;5;11;7.86;7;19;14.14;-11;1;-6.29;0.73;0.7;1.2;0.4;0.8;0
3.0;Austrália;15.0;10.0;4.0;3.0;3.0;15.0;9.0;6.0;repescagem;afc;7;4;14;8.14;1;4;1.71;1;6;3.0;3;8;5.29;5;11;7.86;7;19;14.14;-11;1;-6.29;0.5;0.4;1.5;0.9;0.6;0
1.61;Qatar;22.58;10.39;6.77;2.26;1.35;20.42;6.42;14.0;direta;;7;4;14;8.14;1;4;1.71;1;6;3.0;3;8;5.29;5;11;7.86;7;19;14.14;-11;1;-6.29;0.75;0.68;2.05;0.6;1.46;1
